date,open,close,high,low,volume
01/04/2020 14:30,153,155.02,156.24,152.66,4727963
01/04/2020 14:45,155.02,154.97,155.66,154.15,2367181
01/04/2020 15:00,154.949,155.8,155.84,154.52,1694871
01/04/2020 15:15,155.82,155.35,156.22,155.26,1537987
01/04/2020 15:30,155.34,155.88,156.17,155.02,1223857
01/04/2020 15:45,155.88,156.331,156.57,155.59,1273246
01/04/2020 16:00,156.33,157.33,157.75,156.18,1742697
01/04/2020 16:15,157.36,155.97,157.45,155.738,1416582
01/04/2020 16:30,155.95,155.17,156.14,154.91,1529941
01/04/2020 16:45,155.17,155.02,155.68,154.63,1175544
01/04/2020 17:00,155.02,154.81,155.1,154.27,1177044
01/04/2020 17:15,154.83,154.59,155.13,154.33,1076709
01/04/2020 17:30,154.59,153.42,154.79,153.145,1280536
01/04/2020 17:45,153.43,152.809,153.51,152.8,1566136
01/04/2020 18:00,152.81,152.9,153.319,152.68,1340809
01/04/2020 18:15,152.885,153.18,153.57,152.67,1168355
01/04/2020 18:30,153.17,153.222,153.35,152.84,933666
01/04/2020 18:45,153.19,153.698,153.89,152.83,1126892
01/04/2020 19:00,153.72,153.43,154.22,153.29,1180785
01/04/2020 19:15,153.44,153.1,153.59,152.89,889486
01/04/2020 19:30,153.075,152.68,153.19,152.361,1232048
01/04/2020 19:45,152.68,151.46,152.95,151.32,1338472
01/04/2020 20:00,151.48,151.38,151.868,151.18,1443479
01/04/2020 20:15,151.38,151.2,151.97,151.19,1388478
01/04/2020 20:30,151.205,151.05,151.92,150.82,2204152
01/04/2020 20:45,151.079,152.11,153,151.06,9185841
01/04/2020 21:15,152.11,152.11,152.11,152.11,0
02/04/2020 14:30,151.86,151.22,155.12,150.82,3742030
02/04/2020 14:45,151.311,151.68,151.98,150.36,2445016
02/04/2020 15:00,151.67,152.8,153.35,151.36,2091482
02/04/2020 15:15,152.813,152.32,152.9,151.73,1503225
02/04/2020 15:30,152.27,153.215,154.55,152.222,1994437
02/04/2020 15:45,153.21,153.41,153.55,152.24,1189346
02/04/2020 16:00,153.445,153.41,154.23,152.86,1080293
02/04/2020 16:15,153.45,153.39,154.1,153.13,1079285
02/04/2020 16:30,153.43,154.11,154.34,153.25,946810
02/04/2020 16:45,154.1,154.91,155.01,153.76,1084973
02/04/2020 17:00,154.92,155.165,155.48,154.41,1157612
02/04/2020 17:15,155.15,154.4,155.37,154.3,889304
02/04/2020 17:30,154.43,154.295,154.77,153.74,797303
02/04/2020 17:45,154.31,154.31,154.56,153.87,653381
02/04/2020 18:00,154.295,153.5,154.935,153.41,805747
02/04/2020 18:15,153.53,152.115,153.59,152.01,1256342
02/04/2020 18:30,152.11,153.39,153.45,151.86,1079923
02/04/2020 18:45,153.4,152.95,153.58,152.75,911758
02/04/2020 19:00,152.975,152.42,152.975,151.57,1053534
02/04/2020 19:15,152.405,152.1,152.5,151.3,1208835
02/04/2020 19:30,152.11,151.87,152.315,151.56,1047111
02/04/2020 19:45,151.86,153.1,153.1,151.67,1190813
02/04/2020 20:00,153.09,152.92,153.4,152.53,1214294
02/04/2020 20:15,152.92,153.4,153.69,152.79,1098585
02/04/2020 20:30,153.4,154.055,154.17,152.55,1516989
02/04/2020 20:45,154.064,155.26,155.48,153.5,7448019
02/04/2020 21:15,155.26,155.26,155.26,155.26,0
03/04/2020 14:30,155.1,156.28,156.94,154.45,2581048
03/04/2020 14:45,156.26,156.41,156.82,155.73,1449189
03/04/2020 15:00,156.415,156.86,157.38,156.31,1794096
03/04/2020 15:15,156.87,155.47,156.929,155.07,1798122
03/04/2020 15:30,155.489,155.69,155.92,155.121,1188598
03/04/2020 15:45,155.71,156.12,156.28,155.53,1081195
03/04/2020 16:00,156.13,155.68,156.465,155.645,907761
03/04/2020 16:15,155.69,155.1,155.85,154.87,1123708
03/04/2020 16:30,155.09,154.98,155.425,154.7,967798
03/04/2020 16:45,154.96,154.81,155.011,154.474,754160
03/04/2020 17:00,154.78,153.737,155.01,153.56,1277291
03/04/2020 17:15,153.74,153.633,153.96,153.12,902815
03/04/2020 17:30,153.61,153.758,153.95,153.335,825397
03/04/2020 17:45,153.76,153.562,153.79,153.01,798098
03/04/2020 18:00,153.563,153.48,154.2,153.42,856240
03/04/2020 18:15,153.499,153.21,154.03,153.161,608716
03/04/2020 18:30,153.2,152.68,153.2,152.36,887725
03/04/2020 18:45,152.72,152.6,153.1,152.42,746386
03/04/2020 19:00,152.6,152.345,152.93,152.19,713460
03/04/2020 19:15,152.35,153.31,153.4,152.24,761689
03/04/2020 19:30,153.311,152.58,153.312,152.51,727341
03/04/2020 19:45,152.59,153.57,153.76,152.33,1002425
03/04/2020 20:00,153.569,153.067,154,152.755,1088345
03/04/2020 20:15,153.06,153.34,153.81,152.91,1081951
03/04/2020 20:30,153.325,152.68,153.72,152.605,1098230
03/04/2020 20:45,152.67,153.83,154.76,152.67,5949907
03/04/2020 21:00,153.9,153.83,153.9,153.83,1025
03/04/2020 21:15,153.83,153.83,153.83,153.83,0
06/04/2020 14:30,160.32,158.91,161,157.58,5075671
06/04/2020 14:45,158.91,160.45,160.59,158.867,2942342
06/04/2020 15:00,160.45,159.94,160.51,159.58,1810043
06/04/2020 15:15,159.95,160.525,160.79,159.81,1730937
06/04/2020 15:30,160.528,160.27,161.02,160,1749359
06/04/2020 15:45,160.3,160.31,160.57,159.95,1229863
06/04/2020 16:00,160.31,161.171,161.465,160.17,1651696
06/04/2020 16:15,161.17,161.265,161.35,160.95,1132625
06/04/2020 16:30,161.26,161.22,161.37,160.73,1014315
06/04/2020 16:45,161.225,161.28,161.49,161,955752
06/04/2020 17:00,161.28,161.56,161.63,161.11,1233116
06/04/2020 17:15,161.55,161.932,162,161.41,1188415
06/04/2020 17:30,161.93,161.89,162.04,161.71,1220463
06/04/2020 17:45,161.88,162.02,162.076,161.675,946625
06/04/2020 18:00,162.015,161.55,162.05,161.46,912786
06/04/2020 18:15,161.55,161.38,161.555,160.86,1162940
06/04/2020 18:30,161.385,161.881,161.9,161.24,825648
06/04/2020 18:45,161.885,161.99,162,161.76,747064
06/04/2020 19:00,162,161.45,162,161.37,917352
06/04/2020 19:15,161.44,161.74,161.78,161.22,1191881
06/04/2020 19:30,161.733,161.96,161.99,161.57,997629
06/04/2020 19:45,161.965,161.98,162,161.8,1194273
06/04/2020 20:00,161.98,162.01,162.48,161.88,1857990
06/04/2020 20:15,162.01,162.46,162.49,161.52,1609790
06/04/2020 20:30,162.46,163.33,163.37,162.2,2360961
06/04/2020 20:45,163.328,165.33,166.5,162.84,17503509
06/04/2020 21:00,165.27,165.27,165.27,165.27,0
06/04/2020 21:15,165.27,165.27,165.27,165.27,0
07/04/2020 14:30,169.585,168.05,170,166.82,6041091
07/04/2020 14:45,168.04,167.74,168.54,167.57,3238739
07/04/2020 15:00,167.72,165.628,168.09,164.75,3614617
07/04/2020 15:15,165.625,164.3,165.69,164.15,2661778
07/04/2020 15:30,164.295,164.67,165.28,164.18,1788461
07/04/2020 15:45,164.65,165.53,165.826,164.06,1695828
07/04/2020 16:00,165.53,164.94,165.75,164.42,1580828
07/04/2020 16:15,164.95,166.4,166.55,164.95,1753009
07/04/2020 16:30,166.41,166.975,167.22,166.24,1374467
07/04/2020 16:45,166.97,166.16,167.14,165.8,1189099
07/04/2020 17:00,166.13,167.322,167.62,166.03,1248832
07/04/2020 17:15,167.32,167.165,168,166.814,1264848
07/04/2020 17:30,167.162,166.87,167.36,166.6,1014297
07/04/2020 17:45,166.88,167.29,167.53,166.69,886787
07/04/2020 18:00,167.29,167.81,167.88,167.065,978809
07/04/2020 18:15,167.81,167.28,167.82,167.07,786751
07/04/2020 18:30,167.3,166.49,167.3,166.22,998398
07/04/2020 18:45,166.469,166.435,166.92,166.2,916474
